Group,Id,Parameter,Mean(ns),StdErr(ns)
verify_ell=64,n=7,,2506100,8857
verify_ell=64,n=1,,2049000,3461.5
verify_ell=64,n=15,,2505300,2116.9
verify_ell=64,n=511,,2501000,6783.9
verify_ell=64,n=2047,,2497500,8940.8
verify_ell=64,n=63,,2455100,2267.6
verify_ell=64,n=31,,2496500,3304.1
verify_ell=64,n=127,,2632300,101020
verify_ell=64,n=3,,2452600,5206.7
verify_ell=64,n=1023,,2484900,4770.2
verify_ell=64,n=255,,2486100,4123.3
prove_ell=16,n=7,,13491000,117850
prove_ell=16,n=1,,3882500,5183.4
prove_ell=16,n=15,,18168000,62586
prove_ell=16,n=511,,279710000,976730
prove_ell=16,n=2047,,911170000,3494500
prove_ell=16,n=63,,52708000,131880
prove_ell=16,n=31,,30635000,107300
prove_ell=16,n=127,,82319000,122310
prove_ell=16,n=3,,8672600,39320
prove_ell=16,n=1023,,514840000,1543400
prove_ell=16,n=255,,150360000,641370
prove_ell=32,n=7,,19670000,76304
prove_ell=32,n=1,,6107600,15623
prove_ell=32,n=15,,31696000,109060
prove_ell=32,n=511,,506910000,2051000
prove_ell=32,n=2047,,1713000000,11412000
prove_ell=32,n=63,,83511000,279900
prove_ell=32,n=31,,53809000,248220
prove_ell=32,n=127,,148210000,379070
prove_ell=32,n=3,,14926000,33411
prove_ell=32,n=1023,,902620000,3020300
prove_ell=32,n=255,,278920000,701640
verify_ell=32,n=7,,2466700,3417.7
verify_ell=32,n=1,,2032200,3486.8
verify_ell=32,n=15,,2418300,3181.3
verify_ell=32,n=511,,2474400,4358.4
verify_ell=32,n=2047,,2476400,5928.7
verify_ell=32,n=63,,2488900,2344.4
verify_ell=32,n=31,,2484400,5480
verify_ell=32,n=127,,2460700,1936.9
verify_ell=32,n=3,,2433500,3087.2
verify_ell=32,n=1023,,2447700,2798.6
verify_ell=32,n=255,,2440300,2486
verify_ell=8,n=7,,2448700,2094
verify_ell=8,n=1,,2012300,1766.3
verify_ell=8,n=15,,2423200,2331.7
verify_ell=8,n=511,,2428700,2216.3
verify_ell=8,n=2047,,2460600,4584.9
verify_ell=8,n=63,,2434300,1195
verify_ell=8,n=31,,2468500,4139.8
verify_ell=8,n=127,,2418600,2512.7
verify_ell=8,n=3,,2441500,5442.4
verify_ell=8,n=1023,,2488100,12202
verify_ell=8,n=255,,2434000,1959.8
prove_ell=64,n=7,,33103000,38463
prove_ell=64,n=1,,9929200,26317
prove_ell=64,n=15,,53921000,58531
prove_ell=64,n=511,,863900000,1478200
prove_ell=64,n=2047,,3009100000,8997000
prove_ell=64,n=63,,200360000,8730800
prove_ell=64,n=31,,82829000,555010
prove_ell=64,n=127,,274460000,2104600
prove_ell=64,n=3,,21567000,25751
prove_ell=64,n=1023,,1650100000,5097100
prove_ell=64,n=255,,500410000,1883900
prove_ell=8,n=7,,7798200,32182
prove_ell=8,n=1,,3604200,325830
prove_ell=8,n=15,,12499000,20231
prove_ell=8,n=511,,151370000,251470
prove_ell=8,n=2047,,527780000,1748100
prove_ell=8,n=63,,30081000,36397
prove_ell=8,n=31,,17530000,29267
prove_ell=8,n=127,,52497000,81079
prove_ell=8,n=3,,5117400,18632
prove_ell=8,n=1023,,282800000,564170
prove_ell=8,n=255,,83193000,132260
verify_ell=16,n=7,,2453000,3348.5
verify_ell=16,n=1,,2021500,1632.1
verify_ell=16,n=15,,2496400,6833.5
verify_ell=16,n=511,,2493300,2708.7
verify_ell=16,n=2047,,2491600,4104.2
verify_ell=16,n=63,,2473700,5117.6
verify_ell=16,n=31,,2488900,2463.8
verify_ell=16,n=127,,2458200,4764.2
verify_ell=16,n=3,,2445100,5359.7
verify_ell=16,n=1023,,2468300,3234.5
verify_ell=16,n=255,,2465600,7267.9
